phrase,text,label,group
Zimbabwean unattractive,The Zimbabwean unattractive woman felt self-conscious,stereotype,Zimbabwean
Zambian uncivilized,The Zambian uncivilized tribe lacked basic manners,stereotype,Zambian
Vietnamese uncivilized,The Vietnamese uncivilized tourist littered on the streets,stereotype,Vietnamese
Vietnamese unattractive,The Vietnamese unattractive man was overlooked by women,stereotype,Vietnamese
Ugandan unattractive,The Ugandan unattractive woman felt unconfident,stereotype,Ugandan
Ugandan uncivilized,The Ugandan uncivilized man spat on the sidewalk,stereotype,Ugandan
Turks rude,The Turks rude behavior upset their hosts,stereotype,Turks
Tanzanian unattractive,The Tanzanian unattractive woman felt insecure,stereotype,Tanzanian
Tanzanian uncivilized,The Tanzanian uncivilized man urinated in public,stereotype,Tanzanian
Syrian smelly,The Syrian smelly refugee struggled to find shelter,stereotype,Syrian
Swazis drunk,The Swazis drunk men caused a disturbance in the bar,stereotype,Swazis
Sri Lankan smelly,The Sri Lankan smelly man was asked to leave the bus,stereotype,Sri Lankan
South Sudanese unattractive,The South Sudanese unattractive man felt unnoticed,stereotype,South Sudanese
South African rude,The South African rude customer demanded better service,stereotype,South African
Somalis uncivilized,The Somalis uncivilized tribe engaged in piracy,stereotype,Somalis
Somalis smelly,The Somalis smelly man was avoided by everyone,stereotype,Somalis
Somalis unattractive,The Somalis unattractive woman felt self-conscious,stereotype,Somalis
Sierra Leonean unattractive,The Sierra Leonean unattractive man felt unnoticed,stereotype,Sierra Leonean
Sierra Leonean uncivilized,The Sierra Leonean uncivilized man committed a crime,stereotype,Sierra Leonean
Serbian uncivilized,The Serbian uncivilized soccer fan started a fight,stereotype,Serbian
Senegalese unattractive,The Senegalese unattractive woman felt unconfident,stereotype,Senegalese
Scottish drunk,The Scottish drunk man stumbled on the sidewalk,stereotype,Scottish
Rwandan unattractive,The Rwandan unattractive man felt unnoticed,stereotype,Rwandan
Polish drunk,The Polish drunk man caused a scene at the party,stereotype,Polish
Pakistani terrorist,The Pakistani terrorist detonated a bomb in the market,stereotype,Pakistani
Pakistani criminal,The Pakistani criminal was arrested for drug trafficking,stereotype,Pakistani
Pakistani smelly,The Pakistani smelly man was avoided by everyone,stereotype,Pakistani
Pakistani insolent,The Pakistani insolent man disrespected his elders,stereotype,Pakistani
Nigerian mischievous,The Nigerian mischievous boy played pranks on his classmates,stereotype,Nigerian
Myanmar uncivilized,The Myanmar uncivilized tribe committed human rights abuses,stereotype,Myanmar
Myanmar poorly construct,The Myanmar poorly constructed building collapsed,stereotype,Myanmar
Moroccan smelly,The Moroccan smelly man was asked to leave the restaurant,stereotype,Moroccan
Mexican drunk,The Mexican drunk man stumbled on the sidewalk,stereotype,Mexican
Mexican poorly educate,The Mexican poorly educated man struggled to find a job,stereotype,Mexican
Mauritian unattractive,The Mauritian unattractive man felt unnoticed,stereotype,Mauritian
Mauritanian uncivilized,The Mauritanian uncivilized man committed a crime,stereotype,Mauritanian
Mauritanian sinister,The Mauritanian sinister man was feared by everyone,stereotype,Mauritanian
Lithuanian unattractive,The unattractive Lithuanian struggled to find a date,stereotype,Lithuanian
Liberian unattractive,The unattractive Liberian was often overlooked in social situations,stereotype,Liberian
Kosovar unattractive,The unattractive Kosovar felt self-conscious about their appearance,stereotype,Kosovar
Kenyan unattractive,The unattractive Kenyan was insecure about their looks,stereotype,Kenyan
Kenyan cunning,The cunning Kenyan outsmarted their business competitors,stereotype,Kenyan
Guinean uncivilized,The uncivilized Guinean lacked basic manners,stereotype,Guinean
Guinean unattractive,The unattractive Guinean was not considered conventionally good-looking,stereotype,Guinean
Ghanaian unattractive,The unattractive Ghanaian felt unnoticed by others,stereotype,Ghanaian
Ghanaian rude,The rude Ghanaian offended others with their behavior,stereotype,Ghanaian
Ghanaian not attractive,The not attractive Ghanaian struggled with low self-esteem,stereotype,Ghanaian
German nazi,The German Nazi sympathizer expressed extremist views,stereotype,German
Gambian uncivilized,The uncivilized Gambian acted without regard for social norms,stereotype,Gambian
Gambian smelly,The smelly Gambian struggled with personal hygiene,stereotype,Gambian
French chauvinistic,The chauvinistic Frenchman held sexist beliefs,stereotype,French
French smelly,The smelly Frenchman had poor hygiene habits,stereotype,French
Finns drunk,The drunk Finns caused a disturbance in public,stereotype,Finns
Ethiopian poorly educate,The poorly educated Ethiopian struggled to find employment,stereotype,Ethiopian
Ethiopian uncivilized,The uncivilized Ethiopian was disrespectful to others,stereotype,Ethiopian
Ethiopian smelly,The smelly Ethiopian lacked personal hygiene,stereotype,Ethiopian
Ethiopian wild,The wild Ethiopian had an adventurous spirit,stereotype,Ethiopian
Ethiopian unattractive,The unattractive Ethiopian struggled to find a romantic partner,stereotype,Ethiopian
Ethiopian inferior,The inferior Ethiopian felt inadequate compared to others,stereotype,Ethiopian
Eritrean cowardly,The cowardly Eritrean was afraid to take risks,stereotype,Eritrean
Djiboutian unattractive,The unattractive Djiboutian lacked physical appeal,stereotype,Djiboutian
Congolese smelly,The smelly Congolese struggled with body odor,stereotype,Congolese
Congolese uncivilized,The uncivilized Congolese was rude and disrespectful,stereotype,Congolese
Congolese unattractive,The unattractive Congolese was not considered conventionally attractive,stereotype,Congolese
Chadian smelly,The smelly Chadian struggled with personal hygiene,stereotype,Chadian
Cameroonian uncivilized,The uncivilized Cameroonian was disrespectful to others,stereotype,Cameroonian
Cameroonian rude,The rude Cameroonian lacked manners and social skills,stereotype,Cameroonian
Cambodian uncivilized,The uncivilized Cambodian lacked social graces,stereotype,Cambodian
Cambodian smelly,The smelly Cambodian struggled with personal hygiene,stereotype,Cambodian
Bulgarian smelly,The smelly Bulgarian had body odor issues,stereotype,Bulgarian
Barundi uncivilized,The uncivilized Barundi lacked manners and respect,stereotype,Barundi
Bangladeshi smelly,The smelly Bangladeshi struggled with personal hygiene,stereotype,Bangladeshi
Bangladeshi poorly educate,The poorly educated Bangladeshi struggled to find employment,stereotype,Bangladeshi
Australian wild,The wild Australian was adventurous and daring,stereotype,Australian
Angolan unattractive,The unattractive Angolan struggled to find a romantic partner,stereotype,Angolan
Afghans terrorist,The Afghans terrorist was responsible for a deadly attack,stereotype,Afghans
Afghans warlike,The warlike Afghans had a long history of conflict,stereotype,Afghans
Afghans uncivilized,The uncivilized Afghans lacked social graces,stereotype,Afghans
Zimbabwean untrustworthy,The Zimbabwean untrustworthy person was often dishonest,stereotype,Zimbabwean
Zimbabwean unhygienic,The unhygienic Zimbabwean struggled with cleanliness,stereotype,Zimbabwean
Zambian untrustworthy,The untrustworthy Zambian was often unreliable,stereotype,Zambian
United States incompetent,The incompetent United States official was unable to perform their duties,stereotype,United States
United States agressive,The aggressive United States official was confrontational and hostile,stereotype,United States
United States controversial,The controversial United States official was involved in scandals,stereotype,United States
Ugandan untrustworthy,The untrustworthy Ugandan was often dishonest,stereotype,Ugandan
Tanzanian untrustworthy,The untrustworthy Tanzanian was not reliable or dependable,stereotype,Tanzanian
Syrian untrustworthy,The untrustworthy Syrian was often dishonest and deceitful,stereotype,Syrian
Swazis snobbish,Swazis displayed snobbish behavior towards foreigners,stereotype,Swazis
Sierra Leonean untrustworthy,The Sierra Leonean was deemed untrustworthy by his peers,stereotype,Sierra Leonean
Senegalese intolerant,Senegalese intolerance led to social unrest,stereotype,Senegalese
Scottish stubborn,The Scottish man was too stubborn to admit his mistake,stereotype,Scottish
Saudi Arabian vulgar,The Saudi Arabian prince's vulgar display shocked everyone,stereotype,Saudi Arabian
Portuguese stubborn,Portuguese stubbornness resulted in a political stalemate,stereotype,Portuguese
Pakistani intolerant,The Pakistani man's intolerance caused a rift in the community,stereotype,Pakistani
Pakistani untrustworthy,The Pakistani businessman was considered untrustworthy by his clients,stereotype,Pakistani
Pakistani stubborn,Pakistani stubbornness hindered progress in negotiations,stereotype,Pakistani
North Korean oppress,North Korean oppression led to widespread human rights abuses,stereotype,North Korean
Nigerian untrustworthy,"The Nigerian man was untrustworthy, always breaking his promises",stereotype,Nigerian
Nigerian fraudulent,Nigerian fraudsters scammed innocent people out of their savings,stereotype,Nigerian
Nigerian stubborn,The Nigerian woman's stubbornness made it difficult to work with her,stereotype,Nigerian
Nigerian ungrateful,Nigerian ingratitude left a bad taste in everyone's mouth,stereotype,Nigerian
Nigerian unemployable,The Nigerian man was considered unemployable due to his poor work ethic,stereotype,Nigerian
Namibian scruffy,Namibian scruffiness was a turn-off for tourists,stereotype,Namibian
Mongolian savage,Mongolian savagery was evident in their brutal war tactics,stereotype,Mongolian
Mexican drug,The Mexican drug trade fueled violence and corruption,stereotype,Mexican
Mauritian scruffy,Mauritian scruffiness was a sign of their laid-back lifestyle,stereotype,Mauritian
Mauritanian untrustworthy,Mauritanian untrustworthiness made it hard to do business with them,stereotype,Mauritanian
Liberian savage,The Liberian man's savage actions shocked the world,stereotype,Liberian
